Year,Events
1864–1866:,The Chincha Islands War was an attempt by Spain to regain its South American colonies.
1864–1870:,The Paraguayan War ends Paraguayan ambitions for expansion and destroys much of the Paraguayan population.
1864:,"June, The first railway track in Indonesia was laid between Semarang and Tanggung, Central Java by the Dutch colonial government.[12]"
1865–1877:,Reconstruction in the United States; Slavery is banned in the United States by the Thirteenth Amendment to the United States Constitution.
1865-9,"April 1865: Robert E. Lee surrenders the Army of Northern Virginia (26,765 troops) to Ulysses S. Grant at Appomattox Courthouse, Virginia, effectively ending the American Civil War."
1865-14,"April 1865: United States President Abraham Lincoln is assassinated by actor and Confederate sympathiser John Wilkes Booth,  while attending a performance at Ford's Theater, Washington, D.C.. He dies approximately nine hours after being shot on 15 April 1865."
1865:, Gregor Mendel formulates his laws of inheritance.
1865:, Lewis Carroll publishes Alice's Adventures in Wonderland.
1866:,Successful transatlantic telegraph cable follows an earlier attempt in 1858.
1866:,Austro-Prussian War results in the dissolution of the German Confederation and the creation of the North German Confederation and the Austrian-Hungarian Dual Monarchy.
1866–1868:,Famine in Finland.
1866–1869:,"After the Meiji Restoration, Japan embarks on a program of rapid modernization."
1867:,The United States purchases Alaska from Russia.
1867–1869:,Famine in Sweden.
1867:,Canadian Confederation formed.
1867:,Alfred Nobel invents dynamite.
1867:,The Principality of Serbia passes a Constitution which defines its independence from the Ottoman Empire. International recognition followed in 1878.
1867:,The Luxembourg Crisis: diplomatic confrontation between France and Prussia on the status of Luxembourg and the towns fortifications are torn down.
1867:,The Marquess of Queensberry Rules for boxing are published.
1868:,Safety bicycle invented.
1868:,"The Expatriation Act of 1868 is approved by the U.S. Congress, one of the early blows which would eventually lead to the death of the common law doctrine of perpetual allegiance."
1868:,The Fourteenth Amendment to the United States Constitution is approved.
1868:,Cro-Magnon man first identified.
1868:,Michael Barrett is the last person to be publicly hanged in England.
1868–1878:,Ten Years' War between Cuba and Spain.
1868:,The Batavian Museum (today National Museum of Indonesia) was officially opened by Dutch East Indies government.
1869:,Leo Tolstoy publishes War and Peace.
1869:,First Transcontinental Railroad completed in United States on 10 May. – United States
1869:,Dmitri Mendeleev created the Periodic table.
1869:,The Suez Canal opens linking the Mediterranean to the Red Sea.
1870:,Rasmus Malling-Hansen's invention the Hansen Writing Ball becomes the first commercially sold typewriter.
1870–1871:,"The Franco-Prussian War results in the unifications of Germany and Italy, the collapse of the Second French Empire and the emergence of a New Imperialism."
1870:,Official dismantling of the Cultivation System and beginning of a 'Liberal Policy' of deregulated exploitation of the Netherlands East Indies.[13]
1870–1890:,Long Depression in Western Europe and North America.
1871–1878:,"In Germany, Otto von Bismarck attacks the privileges of the Catholic Church in the Kulturkampf (""Culture War"")."
1871–1872:,Famine in Persia is believed to have caused the death of 2 million.
1871–1914:,Second Industrial Revolution.
1871:,Royal Albert Hall opens in London.
1871:,The Paris Commune briefly rules the French capital.
1871:,The feudal system is dismantled in Japan.
1871:,Henry Morton Stanley meets Dr. David Livingstone near Lake Tanganyika.
1872:,"Yellowstone National Park, the first national park, is created."
1872:,"The first recognised international soccer match, between England and Scotland, is played."
1873:,"The Panic of 1873 starts the ""Long Depression""."
1873:,Maxwell's A Treatise on Electricity and Magnetism published.
1873:,The samurai class is abolished in Japan.
1873:,Blue jeans and barbed wire are invented.
1873:,The beginning of the bloody Aceh War for Dutch occupation of the province.[13]
1874:,"The Société Anonyme Coopérative des Artistes Peintres, Sculpteurs, and Graveurs, better known as the Impressionists, organize and present their first public group exhibition at the Paris studio of the photographer Nadar."
1874:,The Home Rule Movement is established in Ireland.
1874:,The British East India Company is dissolved.
1874–1875:,First Republic in Spain.
1875:,"HMS Challenger surveys the deepest point in the Earth's oceans, the Challenger Deep."
1875–1900:,26 million Indians perish in India due to famine.
1875:,Georges Bizet's opera Carmen premiers in Paris.
1876:,Bulgarians instigate the April Uprising against Ottoman rule.
1876:,Richard Wagner's Ring Cycle is first performed in its entirety.
1876:,Queen Victoria becomes Empress of India.
1876:,"Battle of the Little Bighorn leads to the death of General Custer and victory for the alliance of Lakota, Cheyenne and Arapaho."
1876–1879:,13 million Chinese die of famine in northern China.
1876–1914:,"The massive expansion in population, territory, industry and wealth in the United States is referred to as the Gilded Age."
1877:,Great Railroad Strike in the United States may have been the world's first nationwide labour strike.
1877:,Crazy Horse surrenders and is later killed.
1877:,Asaph Hall discovers the moons of Mars.
1877:,Thomas Edison invents the phonograph.
1877:,"On August 17, Henry McCarty (who later becomes Billy the Kid) kills a blacksmith named Francis Cahill who becomes his first murder victim."
1877:,"The first test cricket match, between England and Australia, is played."
1877–1878:,"Following the Russo-Turkish War, the Treaty of Berlin recognizes formal independence of the Principality of Serbia, Montenegro and Romania. Bulgaria becomes autonomous."
1878:,"First commercial telephone exchange in New Haven, Connecticut. A barricade in the Paris Commune, 18 March 1871. Around 30,000 Parisians were killed, and thousands more were later executed."
1879:,Anglo-Zulu War in South Africa. – South Africa
1879:,Thomas Edison tests his first light bulb.
1879–1880:,Little War against Spanish rule in Cuba leads to rebel defeat.
1879–1883:,Chile battles with Peru and Bolivia over Andean territory in the War of the Pacific.
1879–1884:,"Belgium is engulfed in a political crisis, dubbed the First School War, over the role of religion in state education."
1879:,"21 April, Kartini was born in Jepara, today the date is commemorated as women's emancipation day in Indonesia."
1880–1881:,the First Boer War.
1881:,Tsar Alexander II is assassinated.
1881:,Wave of pogroms begins in the Russian Empire.
1881:,Gunfight at the O.K. Corral. Sitting Bull surrenders.
1881:,"First electrical power plant and grid in Godalming, Britain."
1881:,President James A. Garfield is assassinated.
1881–1882:,"The Jules Ferry laws are passed in France establishing free, secular education."
1881–1899:,The Mahdist War in Sudan.
1882:,The British invasion and subsequent occupation of Egypt.
1883:,"Krakatoa volcano explosion, one of the largest in modern history. Thomas Edison was an American inventor, scientist, and businessman who developed many devices that greatly influenced life around the world, including the phonograph, the motion picture camera, and a long-lasting, practical electric light bulb."
1883:,The quagga is rendered extinct.
1883:,Robert Louis Stevenson's Treasure Island is published.
1884:,First electric car produced by Thomas Parker in Wolverhampton.
1884:,Siege of Khartoum.
1884:,Germany gains control of Cameroon.
1884:,Mark Twain publishes The Adventures of Huckleberry Finn.
1884:,Hiram Maxim invents the first self-powered Machine gun.
1884–1885:,"The Berlin Conference signals the start of the European ""scramble for Africa"". Attending nations also agree to ban trade in slaves."
1884–1885:,The Sino-French War led to the formation of French Indochina.
1885:,Louis Pasteur creates the first successful vaccine against rabies for a young boy who had been bitten 14 times by a rabid dog.
1885:,Karl Benz produced first car with internal combustion engine.
1885:,King Leopold II of Belgium establishes the Congo Free State as a personal fiefdom.
1885:,Britain establishes a protectorate over Bechuanaland (modern Botswana).
1885:,Singer begins production of the 'Vibrating Shuttle'. which would become the most popular model of sewing machine.
1885:,"Rock Springs massacre: White miners rioted, killing at least 28 Chinese immigrant miners."
1886:,"""The Strange Case of Dr. Jekyll and Mr. Hyde"" by Robert Louis Stevenson is published."
1886:,Burma is presented to Queen Victoria as a birthday gift.
1886:,Karl Benz sells the first commercial automobile.
1886:,Construction of the Statue of Liberty; Coca-Cola is developed.
1887:,The British Empire takes over Balochistan.
1887:,"Arthur Conan Doyle publishes his first Sherlock Holmes story, A Study in Scarlet."
1888:,Year of the Three Emperors in Germany marks the beginning of Kaiser Wilhelm II's 30-year reign.
1888:,"Louis Le Prince records the Roundhay Garden Scene, the earliest surviving film."
1888:,"Jack the Ripper murders occur in Whitechapel, London."
1888:,Slavery banned in Brazil.
1888:,Founding of the shipping line Koninklijke Paketvaart-Maatschappij (KPM) that supported the unification and development of the colonial economy.[13]
1889:,The Mayerling Incident: Crown Prince Rudolf of Austria and Baroness Mary Vetsera die in a suicide pact.
1889:,Eiffel Tower is inaugurated in Paris.
1889:,"Mirza Ghulam Ahmad establishes the Ahmadiyya Muslim Community, a reform sect of Islam."
1889:,End of the Brazilian Empire and the beginning of the Brazilian Republic.
1889:,Vincent van Gogh paints The Starry Night.
1889:,Aspirin patented.
1889:,Moulin Rouge opens in Paris.
1890:,The Wounded Knee Massacre in South Dakota was the last battle in the American Indian Wars. This event represents the end of the American Old West.
1890:,Italy annexes Eritrea.
1890:,First use of the electric chair as a method for execution.
1890:,Death of Vincent van Gogh.
1890:,The cardboard box is invented.
1890:,"Kaiser Wilhelm II dismisses Germany's longtime chancellor Otto von Bismarck, thereafter embarking on the foreign policy of Weltpolitik, as opposed to Bismarck's Realpolitik."
1891:,"Mirza Ghulam Ahmad, founder of the Ahmadiyya movement, claims to be Promised Messiah and Imam Mahdi."
1891:,1891 Chilean Civil War.
1891:,Wrigley Company is founded in Illinois.
1891:,"Pope Leo XIII launches the encyclical Rerum Novarum, the first major catholic document on social justice."
1892:,Basketball is invented.
1892:,The World's Columbian Exposition was held in Chicago celebrating the 400th anniversary of Christopher Columbus's arrival in the New World.
1892:,Fingerprinting is officially adopted for the first time.
1892:,Tchaikovsky's Nutcracker Suite premières in St Petersburg.
1892:,John Froelich develops and constructs the first gasoline/petrol-powered tractor.
1893:,US forces overthrow the government of Hawaii.
1893:,The Internal Macedonian Revolutionary Organisation is formed.
1893:,New Zealand becomes the first country to enact women's suffrage.
